Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
53	glutathione metabolic process (GO:0006749)	0.948731559838701	-1.52332590559505	0.0801717082034117	YGR201C	0.999999999663225	0.21305324722765	0.376647704920309
54	monocarboxylic acid catabolic process (GO:0072329)	0.954947316037513	-1.66193861103421	0.0766138849866372	YER010C	0.999999999663225	0.220891030102815	0.377038137589288
55	protein targeting to ER (GO:0045047)	0.954947316037513	-1.56194390936664	0.0720042185874286	YBR137W	0.999999999663225	0.220891030102815	0.377038137589288
56	protein deubiquitination (GO:0016579)	0.965210130588796	-1.83521890714501	0.0649840911078627	YPL191C	0.999999999663225	0.236338072209221	0.395916876822086
57	Golgi organization (GO:0007030)	0.973135860898075	-1.73504669977234	0.0472480553923387	YGR127W	0.999999999663225	0.251485242330742	0.40156514501199
58	glutamine family amino acid biosynthetic process (GO:0009084)	0.969428667850193	-1.45123119461449	0.0450583822871036	YHR033W	0.999999999663225	0.243948782688356	0.395916876822086
59	organic cyclic compound biosynthetic process (GO:1901362)	0.969428667850193	-1.42697133366125	0.0443051528270979	YHR033W	0.999999999663225	0.243948782688356	0.395916876822086
60	translational elongation (GO:0006414)	0.976393669062632	-1.264604057388	0.0302106630794702	YGR201C	0.999999999663225	0.258948159936594	0.40691853704322
61	monocarboxylic acid biosynthetic process (GO:0072330)	0.979256546898005	-1.3988145363235	0.0293214199272589	YML096W	0.999999999663225	0.266338237702615	0.411991961446233
62	amide biosynthetic process (GO:0043604)	0.985925896792495	-1.75446895666091	0.024867987887468	YML096W	0.999999999663225	0.288078355722743	0.425668018157486
63	glucose import (GO:0046323)	0.985925896792495	-1.50540265332527	0.0213377015344309	YDL199C	0.999999999663225	0.288078355722743	0.425668018157486
64	peptide metabolic process (GO:0006518)	0.985925896792495	-1.36364072489312	0.0193283562531875	YGR201C	0.999999999663225	0.288078355722743	0.425668018157486
65	glucose transport (GO:0015758)	0.987633087574838	-1.52904901869262	0.0190275151324949	YDL199C	0.999999999663225	0.295183965677144	0.427425640061119
66	vacuole fusion (GO:0097576)	0.989133270930439	-1.37191694126951	0.0149898433040302	YHR138C	0.999999999663225	0.302220149538165	0.427425640061119
67	vacuole fusion, non-autophagic (GO:0042144)	0.989133270930439	-1.33043209134798	0.014536571403153	YHR138C	0.999999999663225	0.302220149538165	0.427425640061119
68	autophagy of mitochondrion (GO:0000422)	0.992627861694752	-1.54422701190544	0.0114264256438939	YOR019W	0.999999999663225	0.322918750866858	0.437930908709849
