N_unmapped	1	1	1
N_multimapping	177	177	177
N_noFeature	2018	33121	33221
N_ambiguous	12204	27	29
YAL069W	0	0	0
YAL068W-A	0	0	0
YAL068C	0	0	0
YAL067W-A	0	0	0
YAL067C	0	0	0
YAL066W	0	0	0
YAL065C	0	0	0
YAL064W-B	2	0	2
YAL064C-A	0	0	0
YAL064W	0	0	0
YAL063C-A	0	0	0
YAL063C	13	6	7
YAL062W	1009	505	504
YAL061W	762	386	378
YAL060W	1378	688	690
YAL059C-A	0	63	70
YAL059W	50	93	90
YAL058W	151	100	100
YAL056C-A	1	27	23
YAL056W	486	243	243
YAL055W	79	42	37
YAL054C	11549	5808	5741
YAL053W	1086	538	548
YAL051W	284	142	142
YAL049C	582	292	290
YAL048C	225	125	120
YAL047W-A	0	10	10
YAL047C	158	79	79
YAL046C	206	104	102
YAL045C	1	118	123
YAL044W-A	7	123	125
YAL044C	1119	562	558
YAL043C	456	229	228
YAL042C-A	0	153	179
YAL042W	701	517	516
YAL041W	435	218	217
YAL040C	337	168	169
YAL039C	422	210	212
YAL038W	3186	4739	4702
YAL037C-B	17	3220	3051
YAL037C-A	3	2	1
YAL037W	68	32	36
YAL036C	431	218	213
YAL035W	2045	1029	1029
YAL034C-B	0	23	23
YAL034W-A	69	51	51
YAL034C	485	246	239
YAL033W	104	52	52
YAL032C	283	141	142
YAL031W-A	5	19	17
YAL031C	229	131	129
YAL030W	341	172	169
YAL029C	480	239	241
YAL028W	124	62	62
YAL027W	244	138	137
YAL026C-A	5	18	18
YAL026C	402	220	212
HRA1	0	14	16
YAL025C	418	211	207
YAL024C	211	105	106
YAL023C	1132	566	566
YAL022C	297	148	149
YAL021C	584	298	286
YAL020C	76	106	106
YAL019W-A	0	66	70
YAL019W	397	196	201
YAL018C	18	9	9
YAL017W	781	398	406
YAL016C-B	8	19	12
YAL016C-A	1	83	108
YAL016W	1113	652	651
YAL015C	269	135	134
YAL014C	216	109	107
YAL013W	440	220	220
YAL012W	961	478	483
YAL011W	282	142	140
YAL010C	241	121	120
YAL009W	249	127	122
YAL008W	435	221	214
YAL007C	362	183	179
tP(UGG)A	0	0	0
YAL005C	11782	8216	8165
YAL004W	0	2117	2480
YAL003W	3086	1605	1481
snR18	30	14	16
YAL002W	384	191	193
YAL001C	618	308	310
YAR002W	362	182	180
YAR002C-A	750	376	374
YAR003W	236	120	116
YAR007C	817	408	409
YAR008W	222	111	111
YAR009C	237	119	118
YAR010C	121	61	60
tA(UGC)A	0	0	0
YAR014C	640	318	322
YAR015W	1071	534	537
YAR018C	232	118	114
YAR019C	127	74	74
YAR019W-A	0	10	11
YAR020C	53	28	25
YAR023C	40	19	21
tL(CAA)A	0	0	0
tS(AGA)A	0	0	0
YAR027W	416	212	204
YAR028W	36	19	17
YAR029W	5	4	4
YAR030C	3	6	5
YAR031W	79	42	42
YAR033W	59	30	29
YAR035W	1451	731	723
YAR035C-A	11	11	3
YAR042W	495	248	247
YAR047C	0	0	0
YAR050W	25	13	12
YAR053W	0	0	0
YAR060C	6	2	4
YAR061W	10	6	4
YAR062W	12	5	7
YAR064W	5	3	2
YAR066W	86	46	40
YAR068W	77	34	43
YAR069C	2	1	1
YAR070C	8	4	4
YAR071W	127	61	66
YAR073W	16	8	8
YAR075W	2	1	1
