N_unmapped	0	0	0
N_multimapping	135	135	135
N_noFeature	2237	34505	35279
N_ambiguous	20513	47	51
YAL069W	0	0	0
YAL068W-A	0	0	0
YAL068C	0	0	0
YAL067W-A	0	0	0
YAL067C	0	0	0
YAL066W	0	0	0
YAL065C	0	0	0
YAL064W-B	1	0	1
YAL064C-A	0	0	0
YAL064W	0	0	0
YAL063C-A	0	0	0
YAL063C	12	6	6
YAL062W	72	36	36
YAL061W	159	80	79
YAL060W	1539	761	778
YAL059C-A	0	137	155
YAL059W	156	227	221
YAL058W	272	170	169
YAL056C-A	3	39	31
YAL056W	354	177	177
YAL055W	31	16	15
YAL054C	169	89	80
YAL053W	1137	561	576
YAL051W	389	196	193
YAL049C	585	293	292
YAL048C	177	102	99
YAL047W-A	0	11	13
YAL047C	156	78	78
YAL046C	223	113	110
YAL045C	1	70	73
YAL044W-A	5	73	74
YAL044C	1957	979	978
YAL043C	529	264	265
YAL042C-A	0	335	366
YAL042W	1383	1041	1043
YAL041W	593	297	296
YAL040C	569	281	288
YAL039C	507	253	254
YAL038W	8160	12407	12328
YAL037C-B	43	8547	8071
YAL037C-A	18	9	9
YAL037W	102	50	52
YAL036C	851	434	417
YAL035W	3597	1805	1804
YAL034C-B	2	26	23
YAL034W-A	118	77	76
YAL034C	186	92	94
YAL033W	247	124	123
YAL032C	169	85	84
YAL031W-A	7	23	20
YAL031C	327	183	180
YAL030W	216	109	107
YAL029C	1260	629	631
YAL028W	78	39	39
YAL027W	148	82	82
YAL026C-A	11	13	14
YAL026C	697	392	385
HRA1	1	37	44
YAL025C	1106	559	547
YAL024C	318	160	158
YAL023C	3300	1648	1652
YAL022C	447	224	223
YAL021C	709	364	345
YAL020C	119	152	152
YAL019W-A	1	89	97
YAL019W	841	421	420
YAL018C	10	5	5
YAL017W	615	315	323
YAL016C-B	8	22	9
YAL016C-A	0	63	85
YAL016W	945	547	546
YAL015C	316	158	158
YAL014C	362	182	180
YAL013W	521	260	261
YAL012W	3229	1616	1613
YAL011W	303	152	151
YAL010C	196	98	98
YAL009W	318	161	157
YAL008W	240	121	119
YAL007C	1011	513	498
tP(UGG)A	0	0	0
YAL005C	4531	3295	3294
YAL004W	0	972	1087
YAL003W	6451	3356	3095
snR18	103	50	53
YAL002W	429	215	215
YAL001C	748	375	374
YAR002W	699	351	348
YAR002C-A	1537	769	768
YAR003W	453	231	222
YAR007C	857	429	428
YAR008W	306	152	154
YAR009C	362	181	181
YAR010C	194	97	97
tA(UGC)A	0	0	0
YAR014C	933	460	473
YAR015W	3198	1610	1588
YAR018C	265	144	121
YAR019C	161	84	83
YAR019W-A	1	3	4
YAR020C	19	13	6
YAR023C	55	26	29
tL(CAA)A	2	1	1
tS(AGA)A	0	0	0
YAR027W	416	213	203
YAR028W	151	78	73
YAR029W	16	15	13
YAR030C	5	12	7
YAR031W	72	38	36
YAR033W	98	51	47
YAR035W	202	102	101
YAR035C-A	1	2	0
YAR042W	540	270	270
YAR047C	0	0	0
YAR050W	25	13	12
YAR053W	0	0	0
YAR060C	8	4	4
YAR061W	1	1	0
YAR062W	17	8	9
YAR064W	4	3	1
YAR066W	53	28	25
YAR068W	30	13	17
YAR069C	1	1	0
YAR070C	0	0	0
YAR071W	113	56	57
YAR073W	26	13	13
YAR075W	0	0	0
