Rank	Term	P-value	Z-score	Combined Score	Overlapping Genes	Adjusted P-value	Old P	Old Adj P
51	mitochondrial transport (GO:0006839)	0.0452363629772027	-1.33559352987421	4.13480260512755	SSA1	0.0579025446108195	0.108500978813915	0.138881252881811
52	post-Golgi vesicle-mediated transport (GO:0006892)	0.0485847291593951	-1.3206422802495	3.99421127814735	SNC1	0.0606191908137332	0.116168093895139	0.144854860147024
53	cellular response to heat (GO:0034605)	0.0492530925361582	-1.24334264502935	3.74343504892955	SSA1	0.0606191908137332	0.117694573869457	0.144854860147024
54	histone modification (GO:0016570)	0.0552487741714224	-1.28510933969839	3.72155986444866	ACS1	0.0650621548099763	0.131329420823678	0.154569264198036
55	chromatin remodeling (GO:0006338)	0.0552487741714224	-1.27893727548743	3.70368612737531	FUN19	0.0650621548099763	0.131329420823678	0.154569264198036
56	intracellular protein transport (GO:0006886)	0.107021708601342	-1.6567275020884	3.70232801616467	SSA1	0.112946220243656	0.244653481006767	0.258081470950727
57	endocytosis (GO:0006897)	0.0664782678189795	-1.34272023842294	3.63995368759479	SNC1	0.0759751632216908	0.156581861293778	0.17895069862146
58	cytoplasmic translation (GO:0002181)	0.107651866169735	-1.60736224033571	3.58257370106429	SSA1	0.112946220243656	0.245983901999911	0.258081470950727
59	ubiquitin-dependent protein catabolic process (GO:0006511)	0.0834132807951996	-1.43413704633438	3.56232147530259	SSA1	0.0936570170332066	0.193961105909722	0.217780890846004
60	fungal-type cell wall organization (GO:0031505)	0.100062649199297	-1.48084448240459	3.40884298350489	PAU7	0.108542534724661	0.229882715274213	0.249364301314401
61	regulation of transcription, DNA-templated (GO:0006355)	0.117054815723998	-1.42227204204448	3.0509341664819	FUN19	0.120830777521547	0.26569562631476	0.274266452970075
62	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	0.096882822230864	-1.27273576240768	2.97088733391987	SSA1	0.106905183151298	0.223085605117793	0.246163426336875
63	regulation of transcription from RNA polymerase II promoter (GO:0006357)	0.211787918343895	-1.35419400413858	2.10193915871279	FUN19	0.211787918343895	0.449533369324851	0.449533369324851
64	translation (GO:0006412)	0.189032848251099	-1.25918303640811	2.09759051711034	SSA1	0.19203336965191	0.407835452109639	0.414309030714554
