N_unmapped	1	1	1
N_multimapping	178	178	178
N_noFeature	2400	39597	39807
N_ambiguous	17193	24	29
YAL069W	0	0	0
YAL068W-A	0	0	0
YAL068C	0	0	0
YAL067W-A	0	0	0
YAL067C	0	0	0
YAL066W	0	0	0
YAL065C	0	0	0
YAL064W-B	3	0	3
YAL064C-A	0	0	0
YAL064W	0	0	0
YAL063C-A	0	0	0
YAL063C	25	11	14
YAL062W	1245	622	623
YAL061W	1093	556	537
YAL060W	1385	685	700
YAL059C-A	0	95	108
YAL059W	81	146	138
YAL058W	174	105	104
YAL056C-A	1	21	15
YAL056W	624	312	312
YAL055W	77	46	31
YAL054C	13261	6675	6586
YAL053W	1039	515	524
YAL051W	388	196	192
YAL049C	877	441	437
YAL048C	233	128	126
YAL047W-A	0	8	13
YAL047C	172	86	86
YAL046C	261	133	128
YAL045C	0	143	149
YAL044W-A	18	156	154
YAL044C	1041	521	520
YAL043C	523	262	262
YAL042C-A	0	173	192
YAL042W	652	509	509
YAL041W	467	233	234
YAL040C	397	194	203
YAL039C	453	227	226
YAL038W	4873	7086	7014
YAL037C-B	33	4767	4493
YAL037C-A	5	4	1
YAL037W	84	41	43
YAL036C	448	233	215
YAL035W	2358	1180	1179
YAL034C-B	1	12	16
YAL034W-A	107	67	66
YAL034C	615	311	304
YAL033W	126	63	63
YAL032C	299	150	149
YAL031W-A	6	23	20
YAL031C	255	151	143
YAL030W	401	202	199
YAL029C	563	280	283
YAL028W	106	53	53
YAL027W	248	141	141
YAL026C-A	12	24	22
YAL026C	455	258	253
HRA1	2	26	32
YAL025C	567	287	280
YAL024C	270	135	135
YAL023C	1221	608	613
YAL022C	315	157	158
YAL021C	610	310	300
YAL020C	68	100	100
YAL019W-A	0	62	70
YAL019W	480	240	240
YAL018C	27	13	14
YAL017W	1056	543	544
YAL016C-B	14	33	12
YAL016C-A	1	80	113
YAL016W	1426	811	807
YAL015C	334	167	167
YAL014C	273	138	135
YAL013W	504	252	252
YAL012W	1125	561	564
YAL011W	302	151	151
YAL010C	258	129	129
YAL009W	292	147	145
YAL008W	588	297	291
YAL007C	360	182	178
tP(UGG)A	0	0	0
YAL005C	15680	11112	11025
YAL004W	0	2965	3492
YAL003W	3456	1811	1647
snR18	75	35	40
YAL002W	453	226	228
YAL001C	819	410	410
YAR002W	453	228	225
YAR002C-A	814	408	406
YAR003W	235	120	115
YAR007C	924	462	462
YAR008W	199	99	100
YAR009C	206	103	103
YAR010C	98	49	49
tA(UGC)A	0	0	0
YAR014C	789	386	403
YAR015W	1121	561	560
YAR018C	184	94	90
YAR019C	179	97	96
YAR019W-A	0	7	7
YAR020C	57	37	20
YAR023C	58	27	31
tL(CAA)A	0	0	0
tS(AGA)A	2	1	1
YAR027W	516	262	254
YAR028W	26	14	12
YAR029W	3	2	2
YAR030C	1	4	4
YAR031W	84	45	45
YAR033W	86	46	40
YAR035W	1407	710	703
YAR035C-A	8	12	2
YAR042W	603	301	302
YAR047C	0	0	0
YAR050W	25	12	13
YAR053W	0	0	0
YAR060C	31	15	16
YAR061W	5	3	2
YAR062W	11	6	5
YAR064W	6	4	2
YAR066W	111	57	54
YAR068W	93	43	50
YAR069C	4	2	2
YAR070C	2	1	1
YAR071W	137	66	71
YAR073W	13	7	6
YAR075W	0	0	0
