N_unmapped	0	0	0
N_multimapping	202	202	202
N_noFeature	2962	46704	47764
N_ambiguous	28213	55	67
YAL069W	0	0	0
YAL068W-A	0	0	0
YAL068C	0	0	0
YAL067W-A	0	0	0
YAL067C	0	0	0
YAL066W	0	0	0
YAL065C	1	1	0
YAL064W-B	3	0	3
YAL064C-A	0	0	0
YAL064W	0	0	0
YAL063C-A	0	0	0
YAL063C	14	6	8
YAL062W	94	47	47
YAL061W	144	72	72
YAL060W	2261	1123	1138
YAL059C-A	0	206	248
YAL059W	198	333	319
YAL058W	408	266	268
YAL056C-A	4	75	55
YAL056W	473	237	236
YAL055W	50	25	25
YAL054C	183	94	89
YAL053W	1280	631	649
YAL051W	511	256	255
YAL049C	594	298	296
YAL048C	221	120	118
YAL047W-A	0	7	10
YAL047C	222	111	111
YAL046C	270	134	136
YAL045C	2	124	130
YAL044W-A	11	131	132
YAL044C	2550	1274	1276
YAL043C	717	359	358
YAL042C-A	0	478	540
YAL042W	1935	1476	1477
YAL041W	791	395	396
YAL040C	849	429	420
YAL039C	579	289	290
YAL038W	11395	17071	16961
YAL037C-B	62	11713	10985
YAL037C-A	26	20	6
YAL037W	117	57	60
YAL036C	1188	605	583
YAL035W	5670	2845	2846
YAL034C-B	2	44	37
YAL034W-A	129	94	93
YAL034C	209	102	107
YAL033W	381	191	190
YAL032C	235	118	117
YAL031W-A	1	25	21
YAL031C	329	191	186
YAL030W	312	158	154
YAL029C	1765	878	887
YAL028W	101	50	51
YAL027W	185	109	108
YAL026C-A	5	19	18
YAL026C	1001	578	568
HRA1	2	65	83
YAL025C	1471	745	727
YAL024C	501	251	250
YAL023C	4606	2300	2306
YAL022C	631	316	315
YAL021C	1017	519	498
YAL020C	116	199	201
YAL019W-A	1	139	146
YAL019W	1387	692	696
YAL018C	2	1	1
YAL017W	845	433	431
YAL016C-B	3	16	6
YAL016C-A	0	74	105
YAL016W	1143	662	660
YAL015C	353	176	177
YAL014C	407	205	203
YAL013W	607	304	303
YAL012W	4451	2223	2228
YAL011W	456	229	227
YAL010C	272	136	136
YAL009W	330	168	162
YAL008W	234	118	116
YAL007C	1380	698	682
tP(UGG)A	0	0	0
YAL005C	5789	4279	4264
YAL004W	0	1297	1457
YAL003W	8373	4384	3992
snR18	108	53	55
YAL002W	611	306	306
YAL001C	1043	521	523
YAR002W	964	482	482
YAR002C-A	2025	1013	1012
YAR003W	578	296	282
YAR007C	1147	574	573
YAR008W	388	193	195
YAR009C	438	219	219
YAR010C	225	113	112
tA(UGC)A	0	0	0
YAR014C	1326	644	682
YAR015W	4652	2337	2315
YAR018C	314	167	147
YAR019C	241	135	133
YAR019W-A	1	11	17
YAR020C	18	11	7
YAR023C	65	30	35
tL(CAA)A	0	0	0
tS(AGA)A	0	0	0
YAR027W	468	238	230
YAR028W	163	84	79
YAR029W	16	18	16
YAR030C	9	15	12
YAR031W	74	38	36
YAR033W	143	73	70
YAR035W	282	140	142
YAR035C-A	0	0	0
YAR042W	876	437	439
YAR047C	0	0	0
YAR050W	24	13	11
YAR053W	1	1	0
YAR060C	7	3	4
YAR061W	7	4	3
YAR062W	20	10	10
YAR064W	12	5	7
YAR066W	74	39	35
YAR068W	62	29	33
YAR069C	0	0	0
YAR070C	4	2	2
YAR071W	152	76	76
YAR073W	25	13	12
YAR075W	5	2	3
