#Transcript position	Transcript coverage profile
0.0	5.953904912394325
1.0	16.978873689038636
2.0	26.636874505629308
3.0	37.14172119153351
4.0	45.780261708913386
5.0	51.96719632386152
6.0	55.769647811044294
7.0	58.52634897100787
8.0	59.31084273575134
9.0	61.81791159781562
10.0	63.69122118690803
11.0	66.58274139251942
12.0	70.27456104080593
13.0	71.2815894564049
14.0	69.68195307582096
15.0	66.72160283493847
16.0	64.61974654678161
17.0	61.691691715952565
18.0	61.43742927531633
19.0	61.94775539104412
20.0	61.97090517114055
21.0	61.35876178659188
22.0	61.990493745008266
23.0	61.23333323818034
24.0	61.244812089842455
25.0	60.74537356931679
26.0	60.737774652987284
27.0	60.08109305594267
28.0	59.86876152188709
29.0	60.83898635897726
30.0	62.613542576410715
31.0	62.68478282260814
32.0	64.08653920464504
33.0	65.34175484727379
34.0	66.78778061920895
35.0	66.55106742363375
36.0	66.22548898962735
37.0	64.4863599116283
38.0	61.760510694964715
39.0	59.852873293197575
40.0	60.498415670142734
41.0	60.02045960905565
42.0	59.70527090721818
43.0	59.70342516617795
44.0	59.88626654596203
45.0	60.06703222593714
46.0	60.77015326239183
47.0	61.228988226652675
48.0	62.50667769630373
49.0	62.77897034753857
50.0	64.50860238388846
51.0	65.90385152808335
52.0	66.13846454854674
53.0	67.39508429960114
54.0	66.32666090090657
55.0	65.86137929535171
56.0	67.58354235207015
57.0	69.18515754055078
58.0	68.94777246518392
59.0	70.31403770015838
60.0	70.10238760632183
61.0	69.02898692315286
62.0	68.35657197343487
63.0	69.36590667288849
64.0	68.71935323156596
65.0	68.52658337544473
66.0	67.05693796019496
67.0	67.0909762652438
68.0	65.07112165880471
69.0	63.5680928823584
70.0	61.24836204759247
71.0	61.28550961162267
72.0	61.89884007902385
73.0	61.98225266785073
74.0	61.38376617355518
75.0	59.65071240634154
76.0	58.94953456432614
77.0	58.34702524897694
78.0	58.14116543889153
79.0	58.58673664154454
80.0	58.31577474889556
81.0	56.77137973069257
82.0	55.386540249035974
83.0	53.657941318674865
84.0	51.67509194173511
85.0	49.45446884865476
86.0	47.055714535206995
87.0	45.908142047407324
88.0	43.786077975148814
89.0	40.92523884624379
90.0	38.06053492045876
91.0	35.249458966726664
92.0	29.83361404050875
93.0	23.037748976890594
94.0	17.20969421844501
95.0	11.41518125536064
96.0	5.874036524877002
97.0	1.903440053109028
98.0	0.5610502281063936
99.0	0.10837546087943788
