#Transcript position	Transcript coverage profile
0.0	5.953904912394328
1.0	16.97887368903863
2.0	26.636874505629308
3.0	37.141721191533485
4.0	45.780261708913415
5.0	51.9671963238615
6.0	55.76964781104428
7.0	58.52634897100786
8.0	59.31084273575132
9.0	61.817911597815616
10.0	63.69122118690801
11.0	66.58274139251942
12.0	70.27456104080602
13.0	71.28158945640492
14.0	69.68195307582099
15.0	66.72160283493845
16.0	64.61974654678161
17.0	61.69169171595256
18.0	61.4374292753163
19.0	61.9477553910441
20.0	61.970905171140586
21.0	61.35876178659187
22.0	61.990493745008244
23.0	61.23333323818036
24.0	61.24481208984245
25.0	60.74537356931682
26.0	60.73777465298728
27.0	60.081093055942674
28.0	59.868761521887095
29.0	60.83898635897724
30.0	62.613542576410666
31.0	62.684782822608135
32.0	64.08653920464506
33.0	65.34175484727375
34.0	66.78778061920895
35.0	66.55106742363375
36.0	66.22548898962737
37.0	64.48635991162833
38.0	61.76051069496468
39.0	59.85287329319758
40.0	60.49841567014274
41.0	60.020459609055656
42.0	59.70527090721816
43.0	59.70342516617795
44.0	59.88626654596202
45.0	60.067032225937126
46.0	60.77015326239182
47.0	61.22898822665267
48.0	62.506677696303754
49.0	62.77897034753856
50.0	64.50860238388839
51.0	65.90385152808332
52.0	66.13846454854675
53.0	67.39508429960117
54.0	66.32666090090659
55.0	65.86137929535172
56.0	67.58354235207017
57.0	69.18515754055076
58.0	68.94777246518395
59.0	70.31403770015834
60.0	70.1023876063218
61.0	69.02898692315286
62.0	68.35657197343491
63.0	69.36590667288851
64.0	68.71935323156599
65.0	68.52658337544469
66.0	67.05693796019497
67.0	67.09097626524374
68.0	65.07112165880473
69.0	63.56809288235837
70.0	61.24836204759251
71.0	61.28550961162265
72.0	61.898840079023834
73.0	61.98225266785073
74.0	61.3837661735552
75.0	59.65071240634151
76.0	58.94953456432612
77.0	58.34702524897696
78.0	58.141165438891534
79.0	58.58673664154455
80.0	58.315774748895564
81.0	56.77137973069256
82.0	55.38654024903598
83.0	53.657941318674844
84.0	51.67509194173511
85.0	49.45446884865478
86.0	47.055714535207
87.0	45.9081420474073
88.0	43.78607797514886
89.0	40.92523884624378
90.0	38.06053492045875
91.0	35.24945896672666
92.0	29.833614040508753
93.0	23.037748976890597
94.0	17.20969421844501
95.0	11.415181255360642
96.0	5.874036524877003
97.0	1.9034400531090283
98.0	0.5610502281063935
99.0	0.10837546087943786
