#Transcript position	Transcript coverage profile
0.0	8.992726724318885
1.0	23.53350180873205
2.0	35.734331773137264
3.0	46.795963924139116
4.0	56.812048077319645
5.0	65.46311633396425
6.0	72.17845723012229
7.0	75.97701092909449
8.0	79.8937597772922
9.0	85.35732527016064
10.0	88.02937244278701
11.0	91.49552567998123
12.0	95.24263866178468
13.0	95.9576963922023
14.0	94.2621370758309
15.0	90.78056144492157
16.0	88.09167215490982
17.0	86.9376408633908
18.0	88.639186511484
19.0	90.17017554882798
20.0	89.92870184397479
21.0	88.77834534714599
22.0	88.4918661221431
23.0	86.58755288490192
24.0	85.88082110131376
25.0	85.30441393830112
26.0	85.18542350026269
27.0	84.9575364800856
28.0	85.01278628251232
29.0	84.9238764100484
30.0	86.70637935980501
31.0	85.64145996184642
32.0	86.24123807125738
33.0	87.1130910088264
34.0	88.63092105392178
35.0	90.83324939385498
36.0	91.44017342090063
37.0	91.16559488972273
38.0	88.95842803032795
39.0	87.36105366332578
40.0	88.26927939296918
41.0	86.99752351860147
42.0	85.57056579281414
43.0	83.01702082304728
44.0	82.30360975818593
45.0	82.65167566492724
46.0	83.57951390696124
47.0	83.36118826580855
48.0	83.73712861700686
49.0	84.01986409610937
50.0	86.24199143412298
51.0	86.82701491588497
52.0	87.214550483198
53.0	87.84830992231394
54.0	85.63046212882415
55.0	83.82781841285262
56.0	83.87320721892958
57.0	84.10058878940634
58.0	84.24945745110165
59.0	85.48418165652356
60.0	87.85176164027295
61.0	89.57689699483282
62.0	90.52134380425572
63.0	93.5082287129948
64.0	94.09030295671107
65.0	95.30685472232918
66.0	94.87202385947768
67.0	94.78370366934351
68.0	93.65135422601485
69.0	93.40712840680798
70.0	91.04458089435035
71.0	92.60722328820077
72.0	93.45497139050038
73.0	93.74899592309966
74.0	93.52950797964763
75.0	89.97419599606982
76.0	88.90757711072925
77.0	87.82114436592359
78.0	87.80318466097066
79.0	88.4695187919699
80.0	87.42019816200789
81.0	83.42656769086987
82.0	80.6685049966085
83.0	77.86757075012883
84.0	75.30014264088194
85.0	71.35255115843646
86.0	67.20616480487587
87.0	63.95976464874056
88.0	57.37526263005789
89.0	49.902791681482306
90.0	44.19582817908343
91.0	38.407298541954326
92.0	30.410643460197434
93.0	21.92786919745674
94.0	15.847571588128936
95.0	10.778853853344483
96.0	6.862590990783846
97.0	3.05515370919336
98.0	0.9645789412627771
99.0	0.11776644478369218
