#Transcript position	Transcript coverage profile
0.0	8.992726724318882
1.0	23.53350180873206
2.0	35.73433177313726
3.0	46.79596392413912
4.0	56.81204807731964
5.0	65.46311633396421
6.0	72.17845723012229
7.0	75.97701092909449
8.0	79.8937597772922
9.0	85.35732527016063
10.0	88.02937244278702
11.0	91.49552567998118
12.0	95.24263866178467
13.0	95.95769639220228
14.0	94.26213707583092
15.0	90.78056144492156
16.0	88.09167215490986
17.0	86.93764086339081
18.0	88.63918651148401
19.0	90.17017554882804
20.0	89.92870184397479
21.0	88.77834534714601
22.0	88.49186612214311
23.0	86.58755288490191
24.0	85.88082110131376
25.0	85.30441393830117
26.0	85.18542350026271
27.0	84.95753648008557
28.0	85.01278628251228
29.0	84.92387641004836
30.0	86.70637935980506
31.0	85.6414599618464
32.0	86.24123807125743
33.0	87.11309100882644
34.0	88.63092105392181
35.0	90.83324939385504
36.0	91.4401734209006
37.0	91.16559488972277
38.0	88.95842803032797
39.0	87.3610536633258
40.0	88.26927939296922
41.0	86.99752351860154
42.0	85.57056579281416
43.0	83.01702082304728
44.0	82.30360975818596
45.0	82.65167566492725
46.0	83.57951390696122
47.0	83.36118826580862
48.0	83.73712861700686
49.0	84.01986409610937
50.0	86.241991434123
51.0	86.82701491588499
52.0	87.21455048319798
53.0	87.84830992231404
54.0	85.63046212882412
55.0	83.82781841285262
56.0	83.8732072189296
57.0	84.10058878940637
58.0	84.24945745110162
59.0	85.48418165652352
60.0	87.851761640273
61.0	89.57689699483288
62.0	90.52134380425574
63.0	93.50822871299482
64.0	94.09030295671108
65.0	95.30685472232919
66.0	94.87202385947765
67.0	94.78370366934358
68.0	93.65135422601489
69.0	93.40712840680794
70.0	91.04458089435039
71.0	92.60722328820076
72.0	93.45497139050032
73.0	93.74899592309974
74.0	93.52950797964765
75.0	89.97419599606992
76.0	88.9075771107293
77.0	87.82114436592357
78.0	87.80318466097059
79.0	88.46951879196992
80.0	87.42019816200795
81.0	83.4265676908699
82.0	80.66850499660853
83.0	77.86757075012882
84.0	75.30014264088193
85.0	71.35255115843644
86.0	67.20616480487588
87.0	63.95976464874056
88.0	57.37526263005791
89.0	49.902791681482285
90.0	44.19582817908343
91.0	38.40729854195436
92.0	30.410643460197434
93.0	21.927869197456737
94.0	15.847571588128933
95.0	10.778853853344483
96.0	6.862590990783844
97.0	3.0551537091933603
98.0	0.9645789412627772
99.0	0.11776644478369218
