#Transcript position	Transcript coverage profile
0.0	9.487561728186966
1.0	25.158296822294105
2.0	38.448629058872974
3.0	49.74650624709733
4.0	60.48312725132358
5.0	70.37380490979699
6.0	78.07769702838347
7.0	82.2197897776486
8.0	85.89036227759794
9.0	91.50943758501761
10.0	94.1411967232392
11.0	97.30298937928832
12.0	101.46447295200622
13.0	103.20934037020858
14.0	101.83549202522963
15.0	98.1713958428353
16.0	95.54664469854265
17.0	95.95363514907669
18.0	97.86522525386837
19.0	99.47273340298823
20.0	99.44022917930889
21.0	98.49318712027522
22.0	97.6332265183497
23.0	94.77529510495992
24.0	92.94265269815193
25.0	91.63359888851758
26.0	91.37552508740065
27.0	90.86318672820792
28.0	90.31571905058559
29.0	89.42918371535288
30.0	90.94637109034197
31.0	90.44093597046358
32.0	91.24428124217772
33.0	92.6436094762443
34.0	94.67106099721244
35.0	96.91836577947825
36.0	96.77007715951828
37.0	97.00891734937403
38.0	94.28838073370761
39.0	92.4631657494444
40.0	93.53480794826834
41.0	92.41119094161414
42.0	91.37982943338777
43.0	88.61885291282121
44.0	87.4740806374974
45.0	88.63200929311381
46.0	89.77864606227982
47.0	89.38829496470368
48.0	89.29320157441873
49.0	89.44956902317091
50.0	91.05638195556082
51.0	91.3993840124255
52.0	91.60039237265465
53.0	91.91049233149826
54.0	89.53891827326606
55.0	87.26626084419853
56.0	87.43353720505965
57.0	87.90753328244446
58.0	87.61694968163309
59.0	89.74193809145636
60.0	91.73661088908861
61.0	93.32704403933855
62.0	95.26207976830905
63.0	98.51130846248395
64.0	98.78212576638742
65.0	100.00608746959213
66.0	99.76750998934568
67.0	100.20416756919741
68.0	98.96714916445889
69.0	98.30692198523286
70.0	95.85338759440944
71.0	97.10562328298211
72.0	97.9518747360843
73.0	98.08372885621544
74.0	97.9691348146664
75.0	95.37698459030118
76.0	93.19659152987958
77.0	91.25639735764722
78.0	91.46792661339846
79.0	92.27538864122067
80.0	90.64355485826844
81.0	87.03355412146382
82.0	84.33197089536135
83.0	81.83417606081797
84.0	78.95997554937748
85.0	75.36814125064895
86.0	70.95237502682579
87.0	67.17046653175316
88.0	60.053342798655905
89.0	52.17404635529299
90.0	45.87067129642385
91.0	39.363801860135226
92.0	30.880811784219848
93.0	22.056739104312136
94.0	16.044543939875837
95.0	10.841888409357143
96.0	6.6467334396645334
97.0	2.883777085938079
98.0	0.998887145759603
99.0	0.14985432155627385
