#Transcript position	Transcript coverage profile
0.0	12.02649542458309
1.0	31.327402897895524
2.0	48.17157451579719
3.0	63.1965896799294
4.0	77.05449255211121
5.0	89.38271547880761
6.0	98.96758108395915
7.0	104.76746535885815
8.0	110.42233750015953
9.0	117.70567117788742
10.0	121.27800255401763
11.0	125.47176672322539
12.0	130.6860731955873
13.0	132.56279159948653
14.0	130.39338365227064
15.0	125.4426394231731
16.0	123.19707267297343
17.0	123.0100406049149
18.0	125.31720315239524
19.0	127.66957084591999
20.0	127.94388728707858
21.0	127.00219996170422
22.0	126.50527260024552
23.0	123.21883075301838
24.0	121.08781187048436
25.0	119.32597960703083
26.0	118.83445353610037
27.0	118.0302487087001
28.0	117.37330718636973
29.0	117.21624236551628
30.0	120.0784410030973
31.0	119.981495778803
32.0	121.04655289187866
33.0	121.4531028895028
34.0	123.84177468423218
35.0	125.64532064489798
36.0	126.2358183154894
37.0	126.44401730682097
38.0	123.55116641055366
39.0	121.15987932684848
40.0	121.22658922302544
41.0	118.55499440235874
42.0	116.41249368157636
43.0	113.25713320924966
44.0	112.90071412146742
45.0	114.28652683007256
46.0	116.24136134427489
47.0	116.01514968864221
48.0	116.00851757678828
49.0	116.4420336984746
50.0	118.05689538557336
51.0	119.26460926394888
52.0	119.36346477034263
53.0	120.38163241087136
54.0	117.08323473102705
55.0	114.56399459272271
56.0	114.96006492577816
57.0	115.07029280366855
58.0	114.70914156736534
59.0	116.17235542828281
60.0	118.2869569718676
61.0	120.44458348849342
62.0	122.19139419248815
63.0	126.18234248409597
64.0	126.20479945826301
65.0	127.67853986476345
66.0	127.31180535300997
67.0	127.94428411849651
68.0	126.27162916470515
69.0	125.19696141578977
70.0	122.69628176798
71.0	125.11637185335306
72.0	126.96463787135501
73.0	126.7510671427631
74.0	126.64594801546012
75.0	122.56191860475981
76.0	119.97037969627482
77.0	117.92603792349632
78.0	117.68700885445
79.0	118.14526113875043
80.0	115.33990463595546
81.0	109.85662937106555
82.0	106.04032601155504
83.0	102.30891326174755
84.0	98.91060345887418
85.0	93.89544572744796
86.0	89.02152784836974
87.0	85.0265975816796
88.0	76.30572163427455
89.0	66.39974726065823
90.0	58.657993374440906
91.0	49.896933025905575
92.0	39.46068104354512
93.0	28.374793917203853
94.0	20.64407039230467
95.0	13.712807881827443
96.0	8.458018959725326
97.0	3.7412733947274774
98.0	1.2599901335786152
99.0	0.1605664533654501
